"name,country,city,website,fields"
"Harvard University,USA,Cambridge,https://www.harvard.edu,Computer Science|Business|Law|Medicine"
"University of Oxford,UK,Oxford,https://www.ox.ac.uk,Engineering|Medicine|Arts|Philosophy"
"IIT Bombay,India,Mumbai,https://www.iitb.ac.in,Technology|Science|Design"

"Stanford University,USA,Stanford,https://www.stanford.edu,AI|Engineering|Entrepreneurship"
"University of Toronto,Canada,Toronto,https://www.utoronto.ca,Computer Science|Biology|Business"
"ETH Zurich,Switzerland,Zurich,https://ethz.ch,Engineering|Physics|AI"
"National University of Singapore,Singapore,Singapore,https://www.nus.edu.sg,Computer Science|Business|Mathematics"
"University of Tokyo,Japan,Tokyo,https://www.u-tokyo.ac.jp,Robotics|AI|Physics"
"University of Cambridge,UK,Cambridge,https://www.cam.ac.uk,Law|Medicine|Mathematics"
"MIT,USA,Cambridge,https://web.mit.edu,Computer Science|Robotics|Economics"
"University of Delhi,India,Delhi,https://www.du.ac.in,Arts|Commerce|Science"
"University of Sydney,Australia,Sydney,https://www.sydney.edu.au,Health|Engineering|Design"
"University of British Columbia,Canada,Vancouver,https://www.ubc.ca,Environment|AI|Education"
"Tsinghua University,China,Beijing,https://www.tsinghua.edu.cn,Computer Science|Engineering|Materials"
"Sorbonne University,France,Paris,https://www.sorbonne-universite.fr,Literature|History|Physics"
"Technical University of Munich,Germany,Munich,https://www.tum.de,Engineering|Data Science|AI"
"Seoul National University,South Korea,Seoul,https://en.snu.ac.kr,Electronics|AI|Business"
"University of Auckland,New Zealand,Auckland,https://www.auckland.ac.nz,Medicine|Economics|Engineering"
"University of Cape Town,South Africa,Cape Town,https://www.uct.ac.za,Public Health|Law|Sociology"
"University of São Paulo,Brazil,São Paulo,https://www5.usp.br,Biology|Economics|Engineering"
"KTH Royal Institute of Technology,Sweden,Stockholm,https://www.kth.se,Robotics|Data Science|Environment"
"Indian Institute of Science,India,Bangalore,https://www.iisc.ac.in,Physics|AI|Biotechnology"
"University of Hong Kong,Hong Kong,Hong Kong,https://www.hku.hk,Medicine|Law|Finance"
"Cairo University,Egypt,Cairo,https://cu.edu.eg,Engineering|Medicine|Architecture"
